2015-12-24 11:51:11 [INFO] [Multiverse-Portals]  0 - Portals(s) loaded
2015-12-24 20:58:16 [INFO] [Multiverse-Portals]  2 - Portals(s) loaded
2015-12-25 14:38:50 [INFO] [Multiverse-Portals]  2 - Portals(s) loaded
2015-12-25 18:12:52 [INFO] [Multiverse-Portals]  2 - Portals(s) loaded
2015-12-25 19:13:10 [INFO] [Multiverse-Portals]  2 - Portals(s) loaded
2015-12-25 19:19:35 [INFO] [Multiverse-Portals]  2 - Portals(s) loaded
2015-12-25 22:33:38 [INFO] [Multiverse-Portals]  2 - Portals(s) loaded
2015-12-25 22:40:10 [INFO] [Multiverse-Portals]  2 - Portals(s) loaded
2015-12-25 23:08:07 [INFO] [Multiverse-Portals]  2 - Portals(s) loaded
2015-12-26 07:59:36 [INFO] [Multiverse-Portals]  2 - Portals(s) loaded
2015-12-26 08:59:01 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2015-12-26 09:25:11 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2015-12-26 11:07:40 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-26 11:13:01 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-26 17:44:52 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-26 18:10:13 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-26 18:27:01 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-29 12:35:39 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-30 09:28:12 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-30 10:37:53 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-31 12:14:31 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-31 12:20:11 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-31 12:22:25 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-31 12:25:37 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-31 13:16:00 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-31 14:23:13 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-31 22:22:06 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-31 22:27:37 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-12-31 22:29:16 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2016-01-01 17:20:09 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2016-01-02 15:35:43 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2016-01-17 11:41:18 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2016-01-17 23:48:27 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2016-01-17 23:57:25 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2016-01-18 20:33:50 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
